alcohol,chlorides,citric acid,density,pH,sulphates,total sulfur dioxide,volatile acidity,quality
9.0,0.054,0.34,1.0008,3.22,0.550000011920929,197.0,0.32,5
12.2,0.063,0.49,0.9911,3.38,0.4199999868869781,92.0,0.27,6
11.2,0.029,0.11,0.99076,3.51,0.4799999892711639,51.0,0.43,4
9.0,0.11,0.27,0.99672,3.08,0.4099999964237213,103.0,0.41,6
12.0,0.035,0.3,0.99016,3.09,0.3400000035762787,135.0,0.34,6
10.3,0.055,0.39,0.99652,3.37,0.5400000214576721,218.0,0.31,5
10.7,0.054,0.35,0.99178,3.18,0.4699999988079071,148.0,0.28,5
10.4,0.053,0.31,0.99587,3.31,0.5899999737739563,211.0,0.2,6
8.6,0.041,0.62,0.9976,3.08,0.4900000095367431,189.0,0.4,4
11.9,0.034,0.36,0.99085,3.25,0.4000000059604645,177.0,0.25,8
9.8,0.06,0.45,0.99711,3.31,0.5600000023841858,184.0,0.36,6
12.1,0.036,0.49,0.99,3.05,0.2800000011920929,99.0,0.21,7
9.8,0.053,0.26,0.99699,3.11,0.6000000238418579,173.0,0.27,5
9.7,0.039,0.24,0.9958,3.49,0.6399999856948853,172.0,0.26,6
12.3,0.033,0.26,0.99076,2.98,0.4900000095367431,76.0,0.2,7
10.5,0.036,0.14,0.99212,3.47,0.4600000083446502,168.0,0.335,5
10.8,0.026,0.56,0.9906,3.48,0.3899999856948852,115.0,0.17,7
12.4,0.033,0.49,0.9931,3.14,0.3799999952316284,186.0,0.35,8
11.7,0.036,0.42,0.9939,3.16,0.5199999809265137,77.0,0.18,5
12.8,0.03,0.29,0.9911,3.0,0.3199999928474426,100.0,0.42,7
9.2,0.053,0.26,0.9965,3.25,0.5099999904632568,180.0,0.32,6
9.55,0.058,0.18,0.99288,3.23,0.5799999833106995,108.0,0.28,4
10.4,0.052,0.29,0.99546,3.03,0.5799999833106995,160.0,0.26,6
12.5,0.024,0.33,0.9918,3.25,0.449999988079071,130.0,0.48,7
10.0,0.043,0.49,0.9952,3.21,0.3300000131130218,149.0,0.49,5
12.3,0.039,0.33,0.9898,3.09,0.4600000083446502,98.0,0.19,7
13.3,0.031,0.32,0.99176,3.05,0.4600000083446502,118.0,0.4,7
12.5,0.026,0.32,0.9904,3.29,0.5400000214576721,147.0,0.23,6
10.6,0.046,0.29,0.99471,3.6,0.4399999976158142,151.0,0.15,6
10.2,0.036,0.35,0.99342,3.27,0.5099999904632568,108.0,0.16,6
8.7,0.05,0.27,0.9984,2.9,0.4300000071525574,135.0,0.16,7
9.5,0.051,0.31,0.997,3.19,0.4399999976158142,94.0,0.18,7
9.4,0.042,0.49,0.99855,3.1,0.5400000214576721,166.0,0.38,5
10.8,0.032,0.4,0.99629,3.01,0.4600000083446502,92.0,0.28,4
11.2,0.052,0.31,0.9923,3.03,0.4199999868869781,183.0,0.46,5
10.5,0.038,0.27,0.9933,3.49,0.7099999785423279,150.0,0.21,7
12.2,0.036,0.3,0.99122,3.12,0.4600000083446502,165.0,0.45,6
9.9,0.058,0.24,0.995,3.2,0.4099999964237213,166.0,0.4,6
9.5,0.05,0.45,0.9955,3.18,0.4799999892711639,196.0,0.27,5
8.6,0.039,0.3,0.9942,3.05,0.4300000071525574,115.0,0.28,5
10.0,0.044,0.22,0.99471,3.37,0.5299999713897705,101.0,0.2,5
9.7,0.028,0.38,0.993,3.47,0.5400000214576721,117.0,0.18,6
13.0,0.028,0.36,0.9925,3.01,0.3400000035762787,142.0,0.31,7
10.9,0.039,0.28,0.99469,3.11,0.449999988079071,115.0,0.18,7
14.2,0.037,0.28,0.98779,3.12,0.4000000059604645,113.0,0.35,7
9.6,0.047,0.42,0.9937,3.25,0.5699999928474426,245.0,0.4,6
10.4,0.042,0.49,0.9945,3.34,0.4399999976158142,161.0,0.12,6
10.8,0.046,0.31,0.9939,3.26,0.5,108.0,0.21,6
8.9,0.036,0.62,0.9978,3.13,0.4399999976158142,153.0,0.32,6
10.2,0.055,0.36,0.9972,3.49,0.6399999856948853,234.0,0.3,6
9.8,0.048,0.16,0.99428,3.09,0.4900000095367431,125.0,0.47,5
9.4,0.065,0.43,0.99552,3.11,0.5299999713897705,178.0,0.4,5
12.6,0.029,0.3,0.99061,3.33,0.6299999952316284,80.0,0.32,7
10.9,0.031,0.27,0.9905,3.25,0.3600000143051147,77.0,0.2,7
9.7,0.047,0.34,0.9934,3.3,0.5799999833106995,218.5,0.24,6
12.1,0.028,0.34,0.9911,2.99,0.4799999892711639,168.0,0.27,7
9.7,0.041,0.56,0.99119,3.16,0.6200000047683716,141.0,0.23,5
11.4,0.031,0.3,0.9917,3.19,0.4900000095367431,128.0,0.26,5
12.1,0.042,0.35,0.9908,3.11,0.4099999964237213,167.0,0.34,6
9.2,0.052,0.39,0.99888,3.11,0.4699999988079071,126.0,0.24,6
11.3,0.04,0.32,0.99182,3.24,0.4300000071525574,117.0,0.17,6
9.3,0.045,0.55,0.99482,2.97,0.4000000059604645,162.0,0.15,5
9.0,0.052,0.32,0.9959,3.14,0.3799999952316284,143.0,0.31,5
9.0,0.062,0.3,0.99808,3.0,0.5199999809265137,171.0,0.18,7
9.4,0.051,0.22,0.99676,3.1,0.6700000166893005,146.0,0.24,5
10.0,0.028,0.3,0.99272,2.83,0.3600000143051147,95.0,0.18,4
8.8,0.06,0.17,0.99916,3.13,0.4799999892711639,190.0,0.32,6
